Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
St. Louis,Minnesota,70,10/11/2009,Don Carey,7,82,2,15,2,36,3,31,1,1,0,0,2,0,5,2009
Minnesota,St. Louis,70,10/11/2009,Don Carey,5,44,1,4,4,40,0,0,2,1,1,0,0,0,5,2009
San Francisco,Atlanta,71,10/11/2009,Pete Morelli,8,92,2,20,3,32,3,40,0,0,0,0,2,0,5,2009
Atlanta,San Francisco,71,10/11/2009,Pete Morelli,8,90,7,65,1,25,0,0,3,3,0,0,2,0,5,2009
Houston,Arizona,72,10/11/2009,Tony Corrente,6,53,3,20,1,8,2,25,2,2,0,0,0,0,5,2009
Arizona,Houston,72,10/11/2009,Tony Corrente,7,40,5,30,2,10,0,0,4,3,1,0,0,0,5,2009
Denver,New England,73,10/11/2009,Carl Cheffers,3,20,1,10,1,5,1,5,1,0,1,0,2,2,5,2009
New England,Denver,73,10/11/2009,Carl Cheffers,4,46,1,15,3,31,0,0,1,0,1,0,0,2,5,2009
Jacksonville,Seattle,74,10/11/2009,Scott Green,9,73,2,10,4,30,3,33,3,2,1,0,1,0,5,2009
Seattle,Jacksonville,74,10/11/2009,Scott Green,1,10,1,10,0,0,0,0,0,0,0,0,2,0,5,2009
Tennessee,Indianapolis,75,10/11/2009,Walt Anderson,9,89,4,35,5,54,0,0,3,1,2,0,1,0,5,2009
Indianapolis,Tennessee,75,10/11/2009,Walt Anderson,7,48,4,30,2,10,1,8,3,2,1,0,2,0,5,2009
Miami,N.Y. Jets,76,10/12/2009,Al Riveron,8,112,3,19,4,83,1,10,2,2,0,0,1,0,5,2009
N.Y. Jets,Miami,76,10/12/2009,Al Riveron,6,56,4,31,1,15,1,10,2,2,0,0,0,0,5,2009
Cincinnati,Houston,77,10/18/2009,Bill Leavy,4,45,3,30,0,0,1,15,0,0,0,0,1,0,6,2009
Houston,Cincinnati,77,10/18/2009,Bill Leavy,7,60,3,30,3,25,1,5,3,0,2,1,4,0,6,2009
Green Bay,Detroit,78,10/18/2009,Jerome Boger,13,130,7,55,2,25,4,50,5,5,0,0,0,0,6,2009
Detroit,Green Bay,78,10/18/2009,Jerome Boger,6,40,2,10,4,30,0,0,5,2,3,0,3,0,6,2009
St. Louis,Jacksonville,79,10/18/2009,Jeff Triplette,6,52,2,15,4,37,0,0,1,1,0,0,0,0,6,2009
Jacksonville,St. Louis,79,10/18/2009,Jeff Triplette,2,10,1,5,1,5,0,0,2,1,1,0,0,0,6,2009
Baltimore,Minnesota,80,10/18/2009,Mike Carey,6,74,3,15,1,39,2,20,3,3,0,0,3,0,6,2009
Minnesota,Baltimore,80,10/18/2009,Mike Carey,3,15,2,10,1,5,0,0,3,2,1,0,3,0,6,2009
N.Y. Giants,New Orleans,81,10/18/2009,Ed Hochuli,9,110,3,30,4,50,2,30,4,1,3,0,2,0,6,2009
New Orleans,N.Y. Giants,81,10/18/2009,Ed Hochuli,6,55,5,40,1,15,0,0,2,2,0,0,0,0,6,2009
Pittsburgh,Cleveland,82,10/18/2009,Walt Anderson,4,30,3,25,1,5,0,0,2,1,1,0,1,0,6,2009
