Game_ID,Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
208,Arizona,San Francisco,12/14/2009,Jerome Boger,18,133,11,78,7,55,18,14,2009
209,Indianapolis,Jacksonville,12/17/2009,Walt Anderson,9,62,5,40,4,22,11,15,2009
210,Dallas,New Orleans,12/19/2009,Terry McAulay,10,79,6,49,4,30,11,15,2009
211,Chicago,Baltimore,12/20/2009,Bill Leavy,5,35,1,9,4,26,10,15,2009
212,New England,Buffalo,12/20/2009,Tony Corrente,17,176,6,52,11,124,18,15,2009
213,Arizona,Detroit,12/20/2009,Jeff Triplette,15,110,8,65,7,45,19,15,2009
214,Cleveland,Kansas City,12/20/2009,Gene Steratore,6,54,3,20,3,34,9,15,2009
215,Atlanta,N.Y. Jets,12/20/2009,Ron Winter,10,90,4,25,6,65,12,15,2009
216,San Francisco,Philadelphia,12/20/2009,Don Carey,12,124,8,55,4,69,15,15,2009
217,Green Bay,Pittsburgh,12/20/2009,John Parry,17,137,7,53,10,84,20,15,2009
218,Houston,St. Louis,12/20/2009,Ed Hochuli,7,45,4,30,3,15,10,15,2009
219,Miami,Tennessee,12/20/2009,Scott Green,12,106,8,60,4,46,14,15,2009
220,Oakland,Denver,12/20/2009,Al Riveron,16,134,9,62,7,72,16,15,2009
221,Cincinnati,San Diego,12/20/2009,Carl Cheffers,13,85,9,55,4,30,14,15,2009
222,Tampa Bay,Seattle,12/20/2009,Mike Carey,12,85,6,35,6,50,13,15,2009
223,Minnesota,Carolina,12/20/2009,Pete Morelli,11,94,5,45,6,49,12,15,2009
224,N.Y. Giants,Washington,12/21/2009,Walt Coleman,9,67,3,15,6,52,10,15,2009
225,San Diego,Tennessee,12/25/2009,Tony Corrente,15,119,6,45,9,74,15,16,2009
226,Buffalo,Atlanta,12/27/2009,Bill Leavy,16,130,10,60,6,70,17,16,2009
227,Kansas City,Cincinnati,12/27/2009,Ed Hochuli,12,76,6,40,6,36,13,16,2009
228,Oakland,Cleveland,12/27/2009,Jeff Triplette,19,190,13,126,6,64,24,16,2009
229,Seattle,Green Bay,12/27/2009,Walt Coleman,13,136,8,86,5,50,15,16,2009
230,Houston,Miami,12/27/2009,Ron Winter,7,45,3,15,4,30,10,16,2009
231,Carolina,N.Y. Giants,12/27/2009,Scott Green,8,49,4,20,4,29,11,16,2009
232,Jacksonville,New England,12/27/2009,Don Carey,3,15,1,5,2,10,3,16,2009
233,Tampa Bay,New Orleans,12/27/2009,Jerome Boger,9,56,7,42,2,14,11,16,2009
234,Denver,Philadelphia,12/27/2009,Mike Carey,18,154,9,95,9,59,20,16,2009
235,Baltimore,Pittsburgh,12/27/2009,Pete Morelli,15,133,11,113,4,20,17,16,2009
236,St. Louis,Arizona,12/27/2009,Al Riveron,7,35,4,20,3,15,9,16,2009
237,Detroit,San Francisco,12/27/2009,Walt Anderson,5,39,1,10,4,29,6,16,2009
238,N.Y. Jets,Indianapolis,12/27/2009,Terry McAulay,8,67,5,52,3,15,8,16,2009
239,Dallas,Washington,12/27/2009,John Parry,8,54,4,21,4,33,8,16,2009
240,Minnesota,Chicago,12/28/2009,Gene Steratore,7,78,4,47,3,31,10,16,2009
241,Indianapolis,Buffalo,1/3/2010,Don Carey,7,55,3,15,4,40,7,17,2009
242,New Orleans,Carolina,1/3/2010,Al Riveron,7,64,4,35,3,29,8,17,2009
243,Jacksonville,Cleveland,1/3/2010,Pete Morelli,6,35,3,20,3,15,6,17,2009
244,Philadelphia,Dallas,1/3/2010,Ron Winter,17,138,6,58,11,80,18,17,2009
245,Chicago,Detroit,1/3/2010,Jerome Boger,11,70,5,35,6,35,12,17,2009
246,New England,Houston,1/3/2010,John Parry,9,90,4,55,5,35,9,17,2009
247,Pittsburgh,Miami,1/3/2010,Bill Leavy,8,85,5,40,3,45,12,17,2009
248,N.Y. Giants,Minnesota,1/3/2010,Terry McAulay,21,140,13,95,8,45,21,17,2009
249,Cincinnati,N.Y. Jets,1/3/2010,Walt Anderson,11,64,7,44,4,20,13,17,2009
250,San Francisco,St. Louis,1/3/2010,Mike Carey,13,90,6,40,7,50,17,17,2009
251,Atlanta,Tampa Bay,1/3/2010,Gene Steratore,8,66,3,15,5,51,10,17,2009
252,Green Bay,Arizona,1/3/2010,Carl Cheffers,11,95,4,19,7,76,11,17,2009
253,Kansas City,Denver,1/3/2010,Scott Green,10,130,5,76,5,54,12,17,2009
254,Baltimore,Oakland,1/3/2010,Tony Corrente,10,67,5,37,5,30,10,17,2009
255,Washington,San Diego,1/3/2010,Jeff Triplette,5,31,3,14,2,17,5,17,2009
256,Tennessee,Seattle,1/3/2010,Ed Hochuli,14,116,9,76,5,40,16,17,2009
257,Minnesota,New Orleans,9/9/2010,Terry McAulay,9,80,6,60,3,20,15,1,2010
258,Cleveland,Tampa Bay,9/12/2010,Jeff Triplette,11,102,5,47,6,55,16,1,2010
259,Miami,Buffalo,9/12/2010,Clete Blakeman,8,50,3,15,5,35,8,1,2010
260,Cincinnati,New England,9/12/2010,Carl Cheffers,8,35,2,5,6,30,8,1,2010
261,Indianapolis,Houston,9/12/2010,Ed Hochuli,12,123,5,73,7,50,15,1,2010
262,Denver,Jacksonville,9/12/2010,Walt Coleman,12,117,7,70,5,47,13,1,2010
263,Oakland,Tennessee,9/12/2010,Bill Leavy,18,158,10,77,8,81,20,1,2010
264,Carolina,N.Y. Giants,9/12/2010,Jerome Boger,16,158,7,63,9,95,18,1,2010
265,Detroit,Chicago,9/12/2010,Gene Steratore,16,140,7,40,9,100,16,1,2010
266,Arizona,St. Louis,9/12/2010,Al Riveron,15,112,10,72,5,40,19,1,2010
267,Atlanta,Pittsburgh,9/12/2010,Scott Green,7,49,3,24,4,25,8,1,2010
268,Green Bay,Philadelphia,9/12/2010,John Parry,12,95,2,15,10,80,12,1,2010
269,San Francisco,Seattle,9/12/2010,Mike Carey,13,95,8,60,5,35,16,1,2010
270,Dallas,Washington,9/12/2010,Tony Corrente,17,133,12,91,5,42,21,1,2010
271,Baltimore,N.Y. Jets,9/13/2010,Walt Anderson,19,163,5,38,14,125,22,1,2010
272,San Diego,Kansas City,9/13/2010,Pete Morelli,8,65,5,30,3,35,8,1,2010
273,Houston,Washington,9/19/2010,Jeff Triplette,12,103,5,45,7,58,13,2,2010
274,Buffalo,Green Bay,9/19/2010,Ron Winter,10,84,4,35,6,49,14,2,2010
275,Miami,Minnesota,9/19/2010,Mike Carey,9,59,2,15,7,44,16,2,2010
276,Kansas City,Cleveland,9/19/2010,Carl Cheffers,13,108,4,30,9,78,14,2,2010
277,Pittsburgh,Tennessee,9/19/2010,John Parry,16,107,5,35,11,72,21,2,2010
278,Chicago,Dallas,9/19/2010,Scott Green,8,60,2,10,6,50,10,2,2010
279,Philadelphia,Detroit,9/19/2010,Clete Blakeman,18,126,9,75,9,51,21,2,2010
280,Arizona,Atlanta,9/19/2010,Jerome Boger,16,184,10,109,6,75,22,2,2010
281,Tampa Bay,Carolina,9/19/2010,Walt Coleman,8,78,4,30,4,48,11,2,2010
282,Seattle,Denver,9/19/2010,Walt Anderson,10,99,7,64,3,35,11,2,2010
283,St. Louis,Oakland,9/19/2010,Tony Corrente,20,182,8,92,12,90,22,2,2010
284,New England,N.Y. Jets,9/19/2010,Ed Hochuli,12,137,6,79,6,58,12,2,2010
285,Baltimore,Cincinnati,9/19/2010,Gene Steratore,14,101,5,45,9,56,18,2,2010
286,Jacksonville,San Diego,9/19/2010,Terry McAulay,9,58,5,33,4,25,9,2,2010
287,N.Y. Giants,Indianapolis,9/19/2010,Bill Leavy,9,80,3,25,6,55,11,2,2010
